Price,Close,High,Low,Open,Volume
Ticker,UNVR.JK,UNVR.JK,UNVR.JK,UNVR.JK,UNVR.JK
Date,,,,,
2020-01-02,6994.39208984375,7117.100722998903,6953.489212125365,6953.489212125365,11059800
2020-01-03,7014.84375,7096.649508017493,6994.392310495627,7096.649508017493,8071700
2020-01-06,6933.0380859375,7035.295284845132,6830.780887029867,7014.843845063606,7913300
2020-01-07,6912.5869140625,6953.489795210799,6871.6840329142005,6933.038354636649,5793000
2020-01-08,6810.33056640625,6912.587782118056,6769.427680121528,6912.587782118056,8261400
2020-01-09,6830.78125,6892.1355726047905,6748.975486526946,6830.78125,9224300
2020-01-10,6748.9755859375,6871.684232954545,6748.9755859375,6871.684232954545,14849800
2020-01-13,6871.6845703125,6871.6845703125,6769.427359444754,6769.427359444754,8904800
2020-01-14,6933.0380859375,6953.4895257190265,6789.878007466814,6871.68376659292,11761100
2020-01-15,6933.0380859375,6973.940965500553,6830.780887029867,6933.0380859375,14965200
2020-01-16,6892.1357421875,6933.038624930453,6830.781418073071,6933.038624930453,9151100
2020-01-17,6871.6845703125,6892.1360124860485,6830.781685965401,6892.1360124860485,5501800
2020-01-20,6810.33056640625,6892.136338975694,6810.33056640625,6871.684895833333,5343800
2020-01-21,6810.33056640625,6851.233452690973,6789.879123263889,6810.33056640625,5211000
2020-01-22,6789.8779296875,6851.232248329255,6728.523611045745,6851.232248329255,4975800
2020-01-23,6810.33056640625,6851.233452690973,6769.427680121528,6789.879123263889,3400500
2020-01-24,6687.62109375,6810.329737672018,6667.16965309633,6810.329737672018,7927900
2020-01-27,6769.427734375,6789.879177681269,6605.816187924849,6687.621961149925,7078300
2020-01-28,6748.9755859375,6789.878468276515,6626.266938920455,6769.427027107007,8825000
2020-01-29,6748.9755859375,6789.878468276515,6728.524144767992,6748.9755859375,4723100
2020-01-30,6728.52392578125,6748.975366285144,6667.169604269567,6748.975366285144,4297800
2020-01-31,6503.55810546875,6728.5239518843355,6503.55810546875,6728.5239518843355,17743300
2020-02-03,6421.7529296875,6605.815911748607,6380.850044785031,6503.558699492436,8731500
2020-02-04,6442.203125,6503.55744047619,6421.751686507937,6421.751686507937,8182500
2020-02-05,6626.2666015625,6626.2666015625,6421.752200279707,6462.655080536266,7284300
2020-02-06,6503.55810546875,6626.26674896816,6503.55810546875,6626.26674896816,10884300
2020-02-07,6462.6552734375,6524.009595653679,6462.6552734375,6503.558154914952,11461800
2020-02-10,6442.203125,6483.106001984127,6380.84880952381,6462.654563492064,6277000
2020-02-11,6421.7529296875,6442.204372138734,6401.3014872362655,6421.7529296875,5773900
2020-02-12,6217.23779296875,6421.752194053249,6196.7863528603,6401.300753944799,17269400
2020-02-13,6053.62646484375,6217.237990920608,6012.723583324536,6196.786550161001,13678700
2020-02-14,6114.97998046875,6237.68860883936,5971.819914036371,6053.625666283445,8792800
2020-02-17,6053.62646484375,6135.432227882179,5992.272142564929,6114.980787122572,8267100
2020-02-18,6053.62646484375,6114.980787122572,5992.272142564929,6012.723583324536,11377400
2020-02-19,6114.97998046875,6135.431418530518,6033.1742282216765,6053.625666283445,7178400
2020-02-20,6258.14013671875,6299.04301342933,6114.98006823172,6135.43150658701,11991000
2020-02-21,6135.43212890625,6258.140771484375,6114.980688476563,6258.140771484375,9864100
2020-02-24,5910.4658203125,6074.077330909386,5910.4658203125,6053.625892084775,11614600
2020-02-25,5971.82080078125,6012.723682978382,5787.7578308941565,5849.112154189855,14739700
2020-02-26,5971.82080078125,6033.175124076948,5890.015036386986,5930.9179185841185,10567900
2020-02-27,5849.11181640625,5971.820455911276,5746.854616818729,5971.820455911276,13251400
2020-02-28,5583.2431640625,5787.757565676511,5501.437403416896,5787.757565676511,34476300
2020-03-02,5644.59814453125,5890.015455163044,5562.792374320652,5583.2438168733015,20747600
2020-03-03,5828.66064453125,5890.014967105263,5685.500558525219,5808.209203673246,27945100
2020-03-04,6074.078125,6094.529566498316,5808.209385521885,5828.660827020201,16142200
2020-03-05,6053.62646484375,6217.237990920608,6033.175024084143,6114.980787122572,12512400
2020-03-06,6094.529296875,6114.980737468541,5910.466331533137,6033.174975094379,10982200
2020-03-09,5746.85498046875,5890.015068950178,5644.597774410588,5726.403539257118,21278700
2020-03-10,5808.208984375,6033.174825319103,5746.854664117518,5746.854664117518,14816900
2020-03-11,5971.82080078125,6094.529447372646,5787.7578308941565,5808.209271992723,19638900
2020-03-12,5910.4658203125,6094.528769733996,5726.402870891004,5910.4658203125,20637800
2020-03-13,5910.4658203125,5910.4658203125,5910.4658203125,5910.4658203125,0
2020-03-16,5705.9521484375,6135.432417674731,5705.9521484375,6114.980976282482,18254300
2020-03-17,5317.37451171875,5869.563403320312,5317.37451171875,5705.951879882813,29370900
