Price,Close,High,Low,Open,Volume
Ticker,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK
Date,,,,,
2020-01-02,5820.9267578125,5899.235189531951,5812.225820954784,5825.277226241358,49445000
2020-01-03,5916.63720703125,5916.63720703125,5851.3801790125235,5873.132521685432,47755500
2020-01-06,5860.08154296875,5873.132949523246,5820.927323305262,5847.030136414253,27300000
2020-01-07,5864.431640625,5890.534452081788,5855.730703472737,5860.081172048868,45022500
2020-01-08,5812.2255859375,5868.781673225814,5803.524649431605,5803.524649431605,53692500
2020-01-09,5864.431640625,5877.483046353394,5855.730703472737,5864.431640625,40363500
2020-01-10,5851.38037109375,5938.389744641612,5838.328965061571,5886.184120512895,73362000
2020-01-13,5868.78271484375,5881.834121919013,5860.081776793573,5864.432245818662,67855000
2020-01-14,5977.5439453125,5990.595351306632,5864.431760030022,5868.782228694733,93582000
2020-01-15,5947.0908203125,6142.8619153483905,5916.637538862473,5977.544101762528,75623500
2020-01-16,5960.14208984375,5994.945839273495,5912.286934377851,5920.987871735288,88931500
2020-01-17,5981.89453125,5994.9459375,5916.6375,5951.44125,38249500
2020-01-20,5947.0908203125,6068.90394611261,5942.740351533925,6047.151602219733,93554500
2020-01-21,5942.7412109375,5999.297313237784,5938.390741529785,5990.596374422355,103984500
2020-01-22,5951.44091796875,5999.296071548908,5947.090449461463,5964.492323490611,94311500
2020-01-23,5951.44091796875,5999.296071548908,5942.739980954176,5990.595134534334,87728000
2020-01-24,5925.3388671875,5986.2454341042585,5925.3388671875,5934.039805318465,69653500
2020-01-27,5951.44091796875,6038.450288114492,5929.688575432315,5973.193260505185,39679000
2020-01-28,5907.9365234375,5955.791679371088,5877.483242388854,5947.090741928618,82615000
2020-01-29,5903.58642578125,5955.792053717414,5890.535018797209,5916.637832765291,43821000
2020-01-30,5864.431640625,5955.791480723758,5855.730703472737,5955.791480723758,71990000
2020-01-31,5638.20751953125,5920.987989260826,5638.20751953125,5916.637520495756,163136500
2020-02-03,5603.40380859375,5729.567403663019,5542.4972454568615,5638.207558957686,149797000
2020-02-04,5742.6181640625,5760.020037286932,5673.010671164773,5716.515354225852,113316500
2020-02-05,5855.73095703125,5899.235644676356,5786.1234567990805,5899.235644676356,123002500
2020-02-06,5864.431640625,5899.235389234051,5812.226017711424,5864.431640625,154693500
2020-02-07,5881.83447265625,5899.236349794287,5833.979310526651,5838.32977981116,82609000
2020-02-10,5903.58642578125,5903.58642578125,5768.7218869461585,5881.834080807848,66578500
2020-02-11,5899.236328125,5903.586797393528,5868.783043245298,5903.586797393528,77526500
2020-02-12,5916.63720703125,5916.63720703125,5881.833458754596,5916.63720703125,69971500
2020-02-13,5907.9365234375,5934.039335764912,5864.431836225148,5934.039335764912,49737000
2020-02-14,5812.2255859375,5912.286355755286,5807.875117684553,5899.234950996444,147028500
2020-02-17,5847.02978515625,5873.132596697126,5812.226036435082,5812.226036435082,115319000
2020-02-18,5825.27783203125,5847.03017643764,5803.52548762486,5816.576894268695,98436500
2020-02-19,5825.27783203125,5881.8339274878645,5799.175018743583,5799.175018743583,74594000
2020-02-20,5738.26806640625,5825.277438148573,5712.165254883553,5820.926969561458,136724500
2020-02-21,5755.66943359375,5794.823647427721,5738.267560778651,5742.618028982426,98261000
2020-02-24,5677.36181640625,5742.618848778736,5664.3104099317525,5712.165567004909,84910000
2020-02-25,5681.7119140625,5707.814725306279,5664.31003989998,5699.113788225019,86446500
2020-02-26,5586.00244140625,5686.063232802156,5586.00244140625,5655.609948464272,92824500
2020-02-27,5472.89013671875,5633.8574936810655,5394.581692791136,5629.507024573976,129254500
2020-02-28,5472.89013671875,5472.89013671875,5251.016212257179,5394.581692791136,169946500
2020-03-02,5290.16943359375,5472.889101530376,5251.015219035901,5472.889101530376,144871500
2020-03-03,5498.99169921875,5525.0945079175735,5394.580464423457,5394.580464423457,114663500
2020-03-04,5603.40380859375,5655.609434139655,5446.786931956036,5494.642088706449,83025000
2020-03-05,5599.05322265625,5690.413065450175,5516.394317271271,5690.413065450175,77583000
2020-03-06,5394.5810546875,5525.095112462198,5394.5810546875,5525.095112462198,77835500
2020-03-09,5033.4921875,5255.366086862576,5033.4921875,5220.562337942956,140889500
2020-03-10,5155.3056640625,5229.263635614451,5081.347692510548,5081.347692510548,133667000
2020-03-11,5090.04833984375,5203.160525173612,5037.842715845353,5177.057713174413,93204500
2020-03-12,4837.72265625,4907.330176483813,4750.713255957734,4872.526416366907,129845500
2020-03-13,4837.72265625,4837.72265625,4837.72265625,4837.72265625,0
